participant_id	study_week	simpson
U127	week1	0.92059989639035
U127	week3	0.9273855663217951
U128	week1	0.9154357773625381
U128	week3	0.92247131381511
U129	week1	0.849641752812168
U129	week3	0.8929379527738304
U131	week1	0.9413635492366185
U131	week3	0.9214656373716091
U132	week1	0.7335158508452103
U132	week3	0.9019077792091271
U149	week1	0.9071363810175933
U149	week3	0.8538020145414301
U150	week1	0.8902901371909576
U150	week3	0.8925521913302591
U151	week1	0.8986604015668078
U151	week3	0.8823480621768783
U152	week1	0.9334585543451888
U152	week3	0.9123258416776023
U153	week1	0.9001054088093097
U153	week3	0.9353051226494722
U161	week1	0.8328639760050492
U161	week3	0.8635565987107328
U162	week1	0.8223047669740176
U162	week3	0.8152250233384691
U165	week1	0.8943034727363509
U165	week3	0.8290634877521251
U166	week3	0.9540274297313093
U184	week1	0.9323420823236347
U184	week3	0.9156604560295833
U185	week1	0.9566961920488652
U185	week3	0.948273897730822
U186	week1	0.9206371714883778
U186	week3	0.9255750480429663
U188	week1	0.9541618784801863
U188	week3	0.9328468822144256
U202	week1	0.9577874854303955
U202	week3	0.8303091585413033
U214	week1	0.8972103294904467
U214	week3	0.8884974067734317
U223	week1	0.9561603705962115
U224	week1	0.956728910154764
U224	week3	0.9296556544821872
U227	week1	0.7574646413822739
U227	week3	0.8635196950625043
U231	week1	0.9511601506140863
U231	week3	0.9376890300691482
U247	week1	0.9557319410942025
U247	week3	0.9374148333116848
U248	week1	0.9546616769020889
U248	week3	0.9532777961007787
U249	week1	0.9054309209901428
U249	week3	0.8810578017972919
U250	week1	0.858082614797747
U250	week3	0.8419880810727494
U259	week3	0.9212058254648715
U261	week1	0.9225610250892599
U261	week3	0.9384419617196766
U262	week1	0.8892902065062728
U268	week1	0.8318041275640344
U268	week3	0.8105543848122192
U269	week1	0.9405803900570253
U269	week3	0.9276826607839362
U271	week1	0.9424446948391518
U271	week3	0.9268786052356558
U273	week1	0.946240165395076
U273	week3	0.9230923640019535
U276	week1	0.9584423858200232
U276	week3	0.9309929485178802
U282	week1	0.5509869447763025
U282	week3	0.3977054423777643
U286	week1	0.8851225768337118
U286	week3	0.9142871549801211
U291	week1	0.8846609012470781
U291	week3	0.8929216182692721
U296	week1	0.79672804690736
U296	week3	0.8280190913524034
U300	week1	0.9516477205987083
U300	week3	0.9400868986252375
U500	week1	0.9204641442509703
U500	week3	0.9343934674059835
U501	week1	0.9371729030349201
U501	week3	0.9287596542928832
U502	week1	0.9469176474439728
U502	week3	0.898123806870494
U507	week1	0.9376438517821248
U507	week3	0.9197133248847676
U509	week1	0.9715941569277943
U509	week3	0.9536849968863375
U510	week1	0.9148348669234618
U510	week3	0.9061051376525886
U511	week1	0.9563665788561854
U511	week3	0.9525049206449384
U516	week1	0.950284512850853
U516	week3	0.7645480041129281
U517	week1	0.9041767035849982
U517	week3	0.8901712126996324
U518	week1	0.946405115526618
U518	week3	0.9189486145053625
U519	week1	0.9180069737441451
U519	week3	0.9158350194971306
U520	week1	0.958854028265264
U520	week3	0.9394814366817934
U521	week1	0.8922653700584493
U521	week3	0.894917869606343
U523	week1	0.9486894772376543
U523	week3	0.9504725346055167
U524	week1	0.8712732558539247
U524	week3	0.7416088948162375
U525	week1	0.9426312565252071
U525	week3	0.9468963376458179
U526	week1	0.9300206851288797
U526	week3	0.9087166121954933
U529	week1	0.8995551194534752
U529	week3	0.9008504543001259
U530	week1	0.9447905486292985
U530	week3	0.9386376535252976
U532	week1	0.9312251689361779
U532	week3	0.9109369740884861
U535	week1	0.9532094042009169
U535	week3	0.9426470037980323
U536	week1	0.9599332081045464
U536	week3	0.9583710289170821
U541	week3	0.9379962542837333
U542	week1	0.9307280166527837
U542	week3	0.902900160325168
U543	week1	0.950914075390449
U543	week3	0.9344076594572959
U545	week1	0.9629169036732975
U545	week3	0.9293644023723384
U546	week1	0.884265822328318
U546	week3	0.9235182022017592
U574	week1	0.8273000850895988
U574	week3	0.8886483906124255
U581	week1	0.8731355600170276
U581	week3	0.8778385925488142
